"geneID","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","Count","SYMBOL"
"126755/3744/3738/845/477/480/481/284525/3756/6000/53828/3778/29850/3784/3767/6833/57084/3739/219527/50801/10089/51083/10008/486/3758/3736/3747/479/496/9472/6557/10021/93107/100134444/23415/65266/81033/3773/8811/2922/610/79041/3249/495/478/3783/3743/3754/3790/3777/389015/6549/274/3760/90134/27347/5621/60598/3755/1908/3785/9992/3772/3761/131096/776/483/285195/10242/6550/10723/6507/6558/3779/8645/89822/83795/56479/9465/857/3751/1804/157855/4986/9312/3788/51305/25769/57582/389816/2316","GO:0071805","potassium ion transmembrane transport","91/4017","216/18434",0.421296296296296,1.93332734028527,7.28319592149088,1.27289903181181e-11,2.2642627483523e-09,1.78087638537386e-09,91,NA
"126755/481/219527/51083/486/9472/8811/483/9465/389816","GO:1901018","positive regulation of potassium ion transmembrane transporter activity","10/4017","18/18434",0.555555555555556,2.54944264653003,3.47156725110383,0.00182442543915704,0.0180296161046108,0.0141805616779338,10,NA
"126755/481/6000/150/3784/6833/219527/51083/486/3747/9472/8811/3783/1908/483/3779/1812/9465/4986/389816/2316","GO:0043268","positive regulation of potassium ion transport","21/4017","43/18434",0.488372093023256,2.24113795439151,4.30093709298,8.04216619078382e-05,0.00152473420444704,0.00119922616783211,21,NA
"126755/481/6000/3784/219527/51083/486/3747/9472/8811/3783/1908/483/3779/9465/4986/389816/2316","GO:1901381","positive regulation of potassium ion transmembrane transport","18/4017","36/18434",0.5,2.29449838187702,4.10373145563824,0.000176491511555584,0.00283135454081743,0.00222690252888366,18,NA
"126755/4985/79570/2946/845/477/6375/481/493/57165/183/6262/6000/53828/150/196051/3784/796/6833/2147/29763/219527/187/5024/406967/51083/10008/1813/486/6330/5318/1272/3747/54997/4842/5319/3356/5587/9472/3958/623/5652/93107/9914/162514/5023/2256/342667/9001/3060/65266/1394/1636/8811/2922/116444/255057/79041/9002/9454/7040/3783/3270/59285/3754/3790/3973/274/2641/27347/5270/2859/5621/57158/6406/3755/1908/4923/9992/6769/776/846/4638/483/3627/6622/6690/154/815/3779/1482/8614/1812/83795/5350/10345/154215/9465/27075/387129/816/781/2056/5294/857/4846/1804/4986/4067/3788/117531/389816/65267/9843/2833/5354/2316/2539","GO:0010959","regulation of metal ion transport","118/4017","402/18434",0.293532338308458,1.34701895055467,3.7132633186607,0.000202552955985743,0.00316547875400975,0.00248969620046123,118,NA
"126755/845/481/3784/219527/51083/10008/486/9472/8811/2922/27347/9992/776/483/9465/857/389816","GO:1901016","regulation of potassium ion transmembrane transporter activity","18/4017","45/18434",0.4,1.83559870550162,2.96235046592833,0.00439453067384711,0.0352028099542084,0.0276875344930151,18,NA
"126755/845/481/6000/150/3784/6833/219527/51083/10008/1813/486/3747/4842/3356/9472/93107/3060/65266/8811/2922/3783/3754/3790/274/27347/5621/3755/1908/9992/776/483/3779/1812/9465/857/4846/1804/4986/3788/389816/2316","GO:0043266","regulation of potassium ion transport","42/4017","104/18434",0.403846153846154,1.85324869305452,4.60598529469729,1.40437374653023e-05,0.000381761449337965,0.000300261067522672,42,NA
"126755/845/481/6000/3784/219527/51083/10008/486/3747/9472/93107/65266/8811/2922/3783/3790/274/27347/5621/3755/1908/9992/776/483/3779/9465/857/1804/4986/3788/389816/2316","GO:1901379","regulation of potassium ion transmembrane transport","33/4017","87/18434",0.379310344827586,1.74065394487222,3.6551391438189,0.000446886676855916,0.00600615693694351,0.00472393191277633,33,NA
"127281/1907/199974/1573/2944/2052/1645/1646/8644/1109/240/1557/1559/1571/747/3992/5319/100137049/1543/8399/4363/8824/1800/246/239/247/242/59344/126410/4051/66002/8529/57834/1549/1555/92086/873/728226/91227/2678/50487/11343/3248/1357/231/6916/2171/22949/9536/5730","GO:0006690","icosanoid metabolic process","50/4017","122/18434",0.409836065573771,1.88073637858772,5.15192389363735,1.33865959545754e-06,5.95309796568176e-05,4.68220024138748e-05,50,NA
"127281/1907/199974/1573/2944/2946/2052/1645/1646/8644/1109/240/1562/1557/1559/1571/747/3992/9415/100137049/1543/8399/8824/246/239/247/242/59344/4051/66002/8529/57834/1549/1555/873/50487/11343/79966/3248/60481/6785/231/6916/2171/22949/9536/5730","GO:0033559","unsaturated fatty acid metabolic process","47/4017","113/18434",0.415929203539823,1.90869776899505,5.11441039767233,1.67492672803856e-06,6.93832661039537e-05,5.45709724874281e-05,47,NA
"127281/407031/1907/1491/2948/2944/2946/493/85414/5629/8644/1109/55301/340895/240/1559/119548/5406/5407/5408/1571/3948/3992/9415/57571/9965/116519/337/345/586/9971/5053/32/5319/442909/2628/11001/8854/3990/1543/11057/8399/116285/6296/1066/79152/246/239/247/242/59344/114881/9388/2593/57834/634/23498/55258/130013/8942/2571/114880/1373/53632/189/92086/55902/102724560/873/875/728226/91227/2678/7494/50487/1582/11343/5947/5352/253017/79966/6507/2264/60481/6785/9444/435/51085/5166/1576/6916/6770/2171/10020/216/570/9536/445/5730/5009/9104/5354","GO:0046394","carboxylic acid biosynthetic process","102/4017","332/18434",0.307228915662651,1.40987249970757,3.97801137067071,8.2752598144917e-05,0.00155915175570236,0.00122629608465939,102,NA
